2015-01-16T06:47:27.368+0800: 59802.084: [GC [PSYoungGen: 573424K->97828K(576000K)] 2450292K->1975477K(3989504K), 0.0658690 secs] [Times: user=0.45 sys=0.00, real=0.07 secs] 
2015-01-16T06:57:23.418+0800: 60398.133: [GC [PSYoungGen: 566820K->103270K(573952K)] 2444469K->1981911K(3987456K), 0.0712650 secs] [Times: user=0.52 sys=0.01, real=0.08 secs] 
2015-01-16T07:05:20.218+0800: 60874.933: [GC [PSYoungGen: 571238K->93879K(575488K)] 2449879K->1973487K(3988992K), 0.0862500 secs] [Times: user=0.57 sys=0.25, real=0.09 secs] 
2015-01-16T07:12:51.292+0800: 61326.008: [GC [PSYoungGen: 561847K->95028K(576000K)] 2441455K->1975348K(3989504K), 0.0713680 secs] [Times: user=0.49 sys=0.06, real=0.07 secs] 
2015-01-16T07:18:30.237+0800: 61664.953: [GC [PSYoungGen: 564020K->95494K(576000K)] 2444340K->1976681K(3989504K), 0.0616790 secs] [Times: user=0.43 sys=0.01, real=0.06 secs] 
2015-01-16T07:25:32.421+0800: 62087.136: [GC [PSYoungGen: 564486K->98339K(577536K)] 2445673K->1980152K(3991040K), 0.0620920 secs] [Times: user=0.43 sys=0.00, real=0.07 secs] 
2015-01-16T07:31:42.159+0800: 62456.875: [GC [PSYoungGen: 569891K->99847K(577024K)] 2451704K->1983425K(3990528K), 0.0700520 secs] [Times: user=0.50 sys=0.06, real=0.08 secs] 
2015-01-16T07:35:56.358+0800: 62711.073: [GC [PSYoungGen: 571399K->105109K(572928K)] 2454977K->1990768K(3986432K), 0.0801340 secs] [Times: user=0.60 sys=0.16, real=0.08 secs] 
2015-01-16T07:41:47.262+0800: 63061.978: [GC [PSYoungGen: 572053K->95757K(574976K)] 2457712K->1983359K(3988480K), 0.0722830 secs] [Times: user=0.38 sys=0.11, real=0.07 secs] 
2015-01-16T07:46:54.531+0800: 63369.247: [GC [PSYoungGen: 562701K->99005K(576000K)] 2450303K->1995058K(3989504K), 0.0688710 secs] [Times: user=0.39 sys=0.08, real=0.06 secs] 
2015-01-16T07:52:28.940+0800: 63703.655: [GC [PSYoungGen: 567485K->98105K(575488K)] 2463538K->1994836K(3988992K), 0.0712000 secs] [Times: user=0.50 sys=0.07, real=0.08 secs] 
2015-01-16T07:56:52.652+0800: 63967.368: [GC [PSYoungGen: 566585K->96938K(577536K)] 2463316K->1995827K(3991040K), 0.0603420 secs] [Times: user=0.44 sys=0.00, real=0.06 secs] 
2015-01-16T08:01:06.248+0800: 64220.964: [GC [PSYoungGen: 568490K->100338K(577024K)] 2467379K->2000074K(3990528K), 0.0660540 secs] [Times: user=0.55 sys=0.00, real=0.07 secs] 
2015-01-16T08:06:24.016+0800: 64538.732: [GC [PSYoungGen: 571890K->93074K(576512K)] 2471626K->1993369K(3990016K), 0.0796160 secs] [Times: user=0.53 sys=0.25, real=0.08 secs] 
2015-01-16T08:11:02.284+0800: 64817.000: [GC [PSYoungGen: 564114K->102451K(573952K)] 2464409K->2003518K(3987456K), 0.0717230 secs] [Times: user=0.55 sys=0.00, real=0.07 secs] 
2015-01-16T08:14:02.034+0800: 64996.750: [GC [PSYoungGen: 573491K->93152K(576512K)] 2474558K->1995113K(3990016K), 0.0629200 secs] [Times: user=0.41 sys=0.08, real=0.06 secs] 
2015-01-16T08:18:05.976+0800: 65240.692: [GC [PSYoungGen: 563168K->97921K(576512K)] 2465129K->2000780K(3990016K), 0.0621580 secs] [Times: user=0.45 sys=0.00, real=0.06 secs] 
2015-01-16T08:20:24.019+0800: 65378.735: [GC [PSYoungGen: 567937K->101821K(576000K)] 2470796K->2005372K(3989504K), 0.0619480 secs] [Times: user=0.42 sys=0.00, real=0.07 secs] 
2015-01-16T08:20:44.720+0800: 65399.435: [GC [PSYoungGen: 571837K->106480K(576512K)] 2475388K->2012793K(3990016K), 0.0624300 secs] [Times: user=0.55 sys=0.00, real=0.07 secs] 
